Name,Sector,Symbol
Monsanto Co.,Materials,MON
Monster Beverage,Consumer Staples,MNST
Moody's Corp,Financials,MCO
Morgan Stanley,Financials,MS
Motorola Solutions Inc.,Information Technology,MSI
Mylan N.V.,Health Care,MYL
"Nasdaq, Inc.",Financials,NDAQ
National Oilwell Varco Inc.,Energy,NOV
Navient,Financials,NAVI
Nektar Therapeutics,Health Care,NKTR
NetApp,Information Technology,NTAP
Netflix Inc.,Information Technology,NFLX
Newell Brands,Consumer Discretionary,NWL
Newfield Exploration Co,Energy,NFX
Newmont Mining Corporation,Materials,NEM
News Corp. Class A,Consumer Discretionary,NWSA
News Corp. Class B,Consumer Discretionary,NWS
NextEra Energy,Utilities,NEE
Nielsen Holdings,Industrials,NLSN
Nike,Consumer Discretionary,NKE
NiSource Inc.,Utilities,NI
Noble Energy Inc,Energy,NBL
Nordstrom,Consumer Discretionary,JWN
Norfolk Southern Corp.,Industrials,NSC
Northern Trust Corp.,Financials,NTRS
Northrop Grumman Corp.,Industrials,NOC
Norwegian Cruise Line,Consumer Discretionary,NCLH
NRG Energy,Utilities,NRG
Nucor Corp.,Materials,NUE
Nvidia Corporation,Information Technology,NVDA
O'Reilly Automotive,Consumer Discretionary,ORLY
Occidental Petroleum,Energy,OXY
Omnicom Group,Consumer Discretionary,OMC
ONEOK,Energy,OKE
Oracle Corp.,Information Technology,ORCL
PACCAR Inc.,Industrials,PCAR
Packaging Corporation of America,Materials,PKG
Parker-Hannifin,Industrials,PH
Paychex Inc.,Information Technology,PAYX
PayPal,Information Technology,PYPL
Pentair Ltd.,Industrials,PNR
People's United Financial,Financials,PBCT
PepsiCo Inc.,Consumer Staples,PEP
PerkinElmer,Health Care,PKI
Perrigo,Health Care,PRGO
Pfizer Inc.,Health Care,PFE
PG&E Corp.,Utilities,PCG
Philip Morris International,Consumer Staples,PM
Phillips 66,Energy,PSX
Pinnacle West Capital,Utilities,PNW
Pioneer Natural Resources,Energy,PXD
PNC Financial Services,Financials,PNC
Polo Ralph Lauren Corp.,Consumer Discretionary,RL
PPG Industries,Materials,PPG
PPL Corp.,Utilities,PPL
Praxair Inc.,Materials,PX
Principal Financial Group,Financials,PFG
Procter & Gamble,Consumer Staples,PG
Progressive Corp.,Financials,PGR
Prologis,Real Estate,PLD
Prudential Financial,Financials,PRU
Public Serv. Enterprise Inc.,Utilities,PEG
Public Storage,Real Estate,PSA
Pulte Homes Inc.,Consumer Discretionary,PHM
PVH Corp.,Consumer Discretionary,PVH
Qorvo,Information Technology,QRVO
QUALCOMM Inc.,Information Technology,QCOM
Quanta Services Inc.,Industrials,PWR
Quest Diagnostics,Health Care,DGX
Range Resources Corp.,Energy,RRC
Raymond James Financial Inc.,Financials,RJF
Raytheon Co.,Industrials,RTN
Realty Income Corporation,Real Estate,O
Red Hat Inc.,Information Technology,RHT
Regency Centers Corporation,Real Estate,REG
Regeneron,Health Care,REGN
Regions Financial Corp.,Financials,RF
Republic Services Inc,Industrials,RSG
ResMed,Health Care,RMD
Robert Half International,Industrials,RHI
Rockwell Automation Inc.,Industrials,ROK
Rockwell Collins,Industrials,COL
Roper Technologies,Industrials,ROP
Ross Stores,Consumer Discretionary,ROST
Royal Caribbean Cruises Ltd,Consumer Discretionary,RCL
"S&P Global, Inc.",Financials,SPGI
Salesforce.com,Information Technology,CRM
SBA Communications,Real Estate,SBAC
SCANA Corp,Utilities,SCG
Schlumberger Ltd.,Energy,SLB
Seagate Technology,Information Technology,STX
Sealed Air,Materials,SEE
Sempra Energy,Utilities,SRE
Sherwin-Williams,Materials,SHW
Simon Property Group Inc,Real Estate,SPG
Skyworks Solutions,Information Technology,SWKS
SL Green Realty,Real Estate,SLG
Snap-On Inc.,Consumer Discretionary,SNA
Southern Co.,Utilities,SO
Southwest Airlines,Industrials,LUV
Stanley Black & Decker,Consumer Discretionary,SWK
Starbucks Corp.,Consumer Discretionary,SBUX
State Street Corp.,Financials,STT
Stericycle Inc,Industrials,SRCL
Stryker Corp.,Health Care,SYK
SunTrust Banks,Financials,STI
SVB Financial,Financials,SIVB
Symantec Corp.,Information Technology,SYMC
Synchrony Financial,Financials,SYF
Synopsys Inc.,Information Technology,SNPS
Sysco Corp.,Consumer Staples,SYY
T. Rowe Price Group,Financials,TROW
Take-Two Interactive,Information Technology,TTWO
"Tapestry, Inc.",Consumer Discretionary,TPR
Target Corp.,Consumer Discretionary,TGT
TE Connectivity Ltd.,Information Technology,TEL
TechnipFMC,Energy,FTI
Texas Instruments,Information Technology,TXN
Textron Inc.,Industrials,TXT
The Bank of New York Mellon Corp.,Financials,BK
The Clorox Company,Consumer Staples,CLX
The Cooper Companies,Health Care,COO
The Hershey Company,Consumer Staples,HSY
The Mosaic Company,Materials,MOS
The Travelers Companies Inc.,Financials,TRV
The Walt Disney Company,Consumer Discretionary,DIS
Thermo Fisher Scientific,Health Care,TMO
Tiffany & Co.,Consumer Discretionary,TIF
Time Warner Inc.,Consumer Discretionary,TWX
TJX Companies Inc.,Consumer Discretionary,TJX
Torchmark Corp.,Financials,TMK
Total System Services,Information Technology,TSS
Tractor Supply Company,Consumer Discretionary,TSCO
TransDigm Group,Industrials,TDG
TripAdvisor,Consumer Discretionary,TRIP
Twenty-First Century Fox Class A,Consumer Discretionary,FOXA
Twenty-First Century Fox Class B,Consumer Discretionary,FOX
Tyson Foods,Consumer Staples,TSN
U.S. Bancorp,Financials,USB
UDR Inc,Real Estate,UDR
Ulta Beauty,Consumer Discretionary,ULTA
Under Armour Class A,Consumer Discretionary,UAA
Under Armour Class C,Consumer Discretionary,UA
Union Pacific,Industrials,UNP
United Continental Holdings,Industrials,UAL
United Health Group Inc.,Health Care,UNH
United Parcel Service,Industrials,UPS
"United Rentals, Inc.",Industrials,URI
United Technologies,Industrials,UTX
"Universal Health Services, Inc.",Health Care,UHS
Unum Group,Financials,UNM
V.F. Corp.,Consumer Discretionary,VFC
Valero Energy,Energy,VLO
Varian Medical Systems,Health Care,VAR
Ventas Inc,Real Estate,VTR
Verisign Inc.,Information Technology,VRSN
Verisk Analytics,Industrials,VRSK
Verizon Communications,Telecommunication Services,VZ
Vertex Pharmaceuticals Inc,Health Care,VRTX
Viacom Inc.,Consumer Discretionary,VIAB
Visa Inc.,Information Technology,V
Vornado Realty Trust,Real Estate,VNO
Vulcan Materials,Materials,VMC
Wal-Mart Stores,Consumer Staples,WMT
Walgreens Boots Alliance,Consumer Staples,WBA
Waste Management Inc.,Industrials,WM
Waters Corporation,Health Care,WAT
Wec Energy Group Inc,Utilities,WEC
Wells Fargo,Financials,WFC
Welltower Inc.,Real Estate,WELL
Western Digital,Information Technology,WDC
Western Union Co,Information Technology,WU
WestRock Company,Materials,WRK
Weyerhaeuser Corp.,Real Estate,WY
Whirlpool Corp.,Consumer Discretionary,WHR
Williams Cos.,Energy,WMB
Willis Towers Watson,Financials,WLTW
Wyndham Worldwide,Consumer Discretionary,WYN
Wynn Resorts Ltd,Consumer Discretionary,WYNN
Xcel Energy Inc,Utilities,XEL
Xerox Corp.,Information Technology,XRX
Xilinx Inc,Information Technology,XLNX
XL Capital,Financials,XL
Xylem Inc.,Industrials,XYL
Yum! Brands Inc,Consumer Discretionary,YUM
Zimmer Biomet Holdings,Health Care,ZBH
Zions Bancorp,Financials,ZION
Zoetis,Health Care,ZTS
